Bahnaric,Vietnamese
Potao ku’m,Vua lập
Potao ku’m perm,Vua lập một.
Potao ku’m perm hornet.,Vua lập một. Nơi.
Potao ku’m perm hornet. Anih,Vua lập một. Nơi. Cực.
Potao ku’m perm hornet. Anih 'Long.,Vua lập một. Nơi. Cực. Thánh
Potao ku’m perm hornet. Anih 'Long. ROgoh,Vua lập một. Nơi. Cực. Thánh ở
Potao ku’m perm hornet. Anih 'Long. ROgoh hloh,Vua lập một. Nơi. Cực. Thánh ở giữa
Potao ku’m perm hornet. Anih 'Long. ROgoh hloh wa,Vua lập một. Nơi. Cực. Thánh ở giữa Ðền.
Potao ku’m perm hornet. Anih 'Long. ROgoh hloh wa tah,"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ,"
Potao ku’m perm hornet. Anih 'Long. ROgoh hloh wa tah horn,"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía"
